iter	Passed	Remaining
403	745	1099
404	746	1097
405	748	1094
406	749	1092
407	750	1089
408	752	1087
409	753	1084
410	755	1082
411	756	1080
412	758	1077
413	759	1075
414	760	1072
415	762	1069
416	763	1067
417	764	1064
418	766	1062
419	767	1059
420	768	1057
421	770	1055
422	771	1052
423	772	1049
424	773	1047
425	775	1044
426	776	1042
427	777	1039
428	779	1037
429	780	1034
430	781	1032
431	783	1029
432	784	1027
433	785	1024
434	787	1022
435	788	1020
436	790	1017
437	791	1015
438	792	1013
439	794	1010
440	795	1008
441	796	1006
442	798	1003
443	799	1001
444	801	999
445	802	996
446	803	994
447	805	992
448	806	989
449	807	987
450	821	999
451	823	998
452	825	996
453	828	996
454	830	994
455	832	993
456	834	991
